Unnamed: 1,AtliQ,Date,Attendance
Kaylah Schultz,Atq -419,3 - Apr,WO
Cason David,Atq -467,3 - Apr,WO
Miya Hampton,Atq -450,3 - Apr,WO
Sofia Solis,Atq -405,3 - Apr,WO
Mckayla Parker,Atq -440,3 - Apr,WO
Madelynn Gray,Atq -335,3 - Apr,WO
Myla Klein,Atq -343,3 - Apr,WO
Boston Morse,Atq -334,3 - Apr,WO
April Ayers,Atq -446,3 - Apr,WO
Faith Hamilton,Atq -419,3 - Apr,WO
Janelle Raymond,Atq -393,3 - Apr,WO
Joel Cruz,Atq -396,3 - Apr,WO
Iris Woodard,Atq -459,3 - Apr,WO
Trystan Ortega,Atq -349,3 - Apr,WO
Miles Fields,Atq -438,3 - Apr,WO
Rodrigo Price,Atq -423,3 - Apr,WO
Ella Roth,Atq -370,3 - Apr,WO
Jayce Fuentes,Atq -433,3 - Apr,WO
Hailee Fitzpatrick,Atq -375,3 - Apr,WO
Rey Novak,Atq -475,3 - Apr,WO
Macie Callahan,Atq -368,3 - Apr,WO
Xiomara Ruiz,Atq -468,3 - Apr,WO
Weston Horton,Atq -348,3 - Apr,WO
Dean Mclaughlin,Atq -435,3 - Apr,WO
Jonah Hamilton,Atq -331,3 - Apr,WO
Roman Colon,Atq -426,3 - Apr,WO
Chris Frye,Atq -405,3 - Apr,WO
London Kim,Atq -475,3 - Apr,WO
Kenley Marsh,Atq -375,3 - Apr,WO
Adriel Pace,Atq -456,3 - Apr,WO
Jase Ingram,Atq -385,3 - Apr,WO
Adyson Moyer,Atq -484,3 - Apr,WO
Salvatore Hendrix,Atq -398,3 - Apr,WO
Tucker Austin,Atq -412,3 - Apr,WO
Cristofer Bernard,Atq -472,3 - Apr,WO
Karma Reeves,Atq -396,3 - Apr,WO
Esperanza Irwin,Atq -467,3 - Apr,WO
Ciara Allison,Atq -428,3 - Apr,WO
Demarcus Gordon,Atq -484,3 - Apr,WO
Ryann Guerrero,Atq -432,3 - Apr,WO
Rylee Mullins,Atq -421,3 - Apr,WO
Gregory Carr,Atq -485,3 - Apr,WO
Ayanna Atkins,Atq -452,3 - Apr,WO
Briley Orr,Atq -367,3 - Apr,WO
Emma Freeman,Atq -393,3 - Apr,WO
Will Mahoney,Atq -403,3 - Apr,WO
Titus Andersen,Atq -414,3 - Apr,WO
Marquis Wyatt,Atq -418,3 - Apr,WO
Nick Orozco,Atq -408,3 - Apr,WO
Gustavo Ritter,Atq -382,3 - Apr,WO
Isiah Small,Atq -373,3 - Apr,WO
Hillary Kirk,Atq -418,3 - Apr,WO
Dominique Benjamin,Atq -376,3 - Apr,WO
Nehemiah Diaz,Atq -453,3 - Apr,WO
Josh Sharp,Atq -461,3 - Apr,WO
Andrew Cummings,Atq -443,3 - Apr,WO
Maximus Mckenzie,Atq -430,3 - Apr,WO
Konner Henson,Atq -387,3 - Apr,WO
Finnegan Gilbert,Atq -385,3 - Apr,WO
Caylee Meadows,Atq -455,3 - Apr,WO
Jovani Pope,Atq -470,3 - Apr,WO
Kaley Fitzpatrick,Atq -374,3 - Apr,WO
Greta Horton,Atq -369,3 - Apr,WO
Miley Combs,Atq -372,3 - Apr,WO
Dallas Weeks,Atq -437,3 - Apr,WO
Chad Macias,Atq -400,3 - Apr,WO
Jessie Carrillo,Atq -458,3 - Apr,WO
Name,Employee Code,4 - Apr,Mon
Thanos Thakur,Atq -406,4 - Apr,P
Jarvis Singh,Atq -462,4 - Apr,P
Nevaeh Waller,Atq -411,4 - Apr,WFH
Bo Cordova,Atq -398,4 - Apr,P
Mekhi Singleton,Atq -438,4 - Apr,P
Peter Pandey,Atq -366,4 - Apr,P
Loki Lal,Atq -441,4 - Apr,P
Phoenix Brady,Atq -436,4 - Apr,P
Ana Little,Atq -404,4 - Apr,P
Grace Stone,Atq -397,4 - Apr,P
Tori Shannon,Atq -335,4 - Apr,P
Lyric Bartlett,Atq -443,4 - Apr,P
Kaylah Schultz,Atq -419,4 - Apr,P
Cason David,Atq -467,4 - Apr,HSL
Miya Hampton,Atq -450,4 - Apr,P
Sofia Solis,Atq -405,4 - Apr,P
Mckayla Parker,Atq -440,4 - Apr,P
Madelynn Gray,Atq -335,4 - Apr,P
Myla Klein,Atq -343,4 - Apr,P
Boston Morse,Atq -334,4 - Apr,P
April Ayers,Atq -446,4 - Apr,P
Faith Hamilton,Atq -419,4 - Apr,P
Janelle Raymond,Atq -393,4 - Apr,P
Joel Cruz,Atq -396,4 - Apr,WFH
Iris Woodard,Atq -459,4 - Apr,P
Trystan Ortega,Atq -349,4 - Apr,P
Miles Fields,Atq -438,4 - Apr,P
Rodrigo Price,Atq -423,4 - Apr,P
Ella Roth,Atq -370,4 - Apr,P
Jayce Fuentes,Atq -433,4 - Apr,P
Hailee Fitzpatrick,Atq -375,4 - Apr,P
Rey Novak,Atq -475,4 - Apr,P
Macie Callahan,Atq -368,4 - Apr,P
Xiomara Ruiz,Atq -468,4 - Apr,P
Weston Horton,Atq -348,4 - Apr,P
Dean Mclaughlin,Atq -435,4 - Apr,P
Jonah Hamilton,Atq -331,4 - Apr,WFH
Roman Colon,Atq -426,4 - Apr,P
Chris Frye,Atq -405,4 - Apr,P
London Kim,Atq -475,4 - Apr,P
Kenley Marsh,Atq -375,4 - Apr,P
Adriel Pace,Atq -456,4 - Apr,P
Jase Ingram,Atq -385,4 - Apr,HPL
Adyson Moyer,Atq -484,4 - Apr,P
Salvatore Hendrix,Atq -398,4 - Apr,P
Tucker Austin,Atq -412,4 - Apr,P
Cristofer Bernard,Atq -472,4 - Apr,P
Karma Reeves,Atq -396,4 - Apr,P
Esperanza Irwin,Atq -467,4 - Apr,P
Ciara Allison,Atq -428,4 - Apr,P
Demarcus Gordon,Atq -484,4 - Apr,P
Ryann Guerrero,Atq -432,4 - Apr,P
Rylee Mullins,Atq -421,4 - Apr,P
Gregory Carr,Atq -485,4 - Apr,WFH
Ayanna Atkins,Atq -452,4 - Apr,P
Briley Orr,Atq -367,4 - Apr,P
Emma Freeman,Atq -393,4 - Apr,WFH
Will Mahoney,Atq -403,4 - Apr,P
Titus Andersen,Atq -414,4 - Apr,P
Marquis Wyatt,Atq -418,4 - Apr,P
Nick Orozco,Atq -408,4 - Apr,P
Gustavo Ritter,Atq -382,4 - Apr,WFH
Isiah Small,Atq -373,4 - Apr,P
Hillary Kirk,Atq -418,4 - Apr,P
Dominique Benjamin,Atq -376,4 - Apr,P
Nehemiah Diaz,Atq -453,4 - Apr,P
Josh Sharp,Atq -461,4 - Apr,
Andrew Cummings,Atq -443,4 - Apr,P
Maximus Mckenzie,Atq -430,4 - Apr,WFH
Konner Henson,Atq -387,4 - Apr,P
Finnegan Gilbert,Atq -385,4 - Apr,P
Caylee Meadows,Atq -455,4 - Apr,P
Jovani Pope,Atq -470,4 - Apr,P
Kaley Fitzpatrick,Atq -374,4 - Apr,P
Greta Horton,Atq -369,4 - Apr,P
Miley Combs,Atq -372,4 - Apr,P
Dallas Weeks,Atq -437,4 - Apr,P
Chad Macias,Atq -400,4 - Apr,P
Jessie Carrillo,Atq -458,4 - Apr,P
Name,Employee Code,5 - Apr,Tue
Thanos Thakur,Atq -406,5 - Apr,P
Jarvis Singh,Atq -462,5 - Apr,P
Nevaeh Waller,Atq -411,5 - Apr,P
Bo Cordova,Atq -398,5 - Apr,P
Mekhi Singleton,Atq -438,5 - Apr,P
Peter Pandey,Atq -366,5 - Apr,P
Loki Lal,Atq -441,5 - Apr,P
Phoenix Brady,Atq -436,5 - Apr,P
Ana Little,Atq -404,5 - Apr,HPL
Grace Stone,Atq -397,5 - Apr,P
Tori Shannon,Atq -335,5 - Apr,P
Lyric Bartlett,Atq -443,5 - Apr,P
Kaylah Schultz,Atq -419,5 - Apr,P
Cason David,Atq -467,5 - Apr,P
Miya Hampton,Atq -450,5 - Apr,P
Sofia Solis,Atq -405,5 - Apr,P
Mckayla Parker,Atq -440,5 - Apr,P
Madelynn Gray,Atq -335,5 - Apr,P
Myla Klein,Atq -343,5 - Apr,P
Boston Morse,Atq -334,5 - Apr,P
April Ayers,Atq -446,5 - Apr,P
Faith Hamilton,Atq -419,5 - Apr,P
Janelle Raymond,Atq -393,5 - Apr,P
Joel Cruz,Atq -396,5 - Apr,WFH
Iris Woodard,Atq -459,5 - Apr,P
Trystan Ortega,Atq -349,5 - Apr,P
Miles Fields,Atq -438,5 - Apr,P
Rodrigo Price,Atq -423,5 - Apr,P
Ella Roth,Atq -370,5 - Apr,P
Jayce Fuentes,Atq -433,5 - Apr,P
Hailee Fitzpatrick,Atq -375,5 - Apr,ML
Rey Novak,Atq -475,5 - Apr,P
Macie Callahan,Atq -368,5 - Apr,P
Xiomara Ruiz,Atq -468,5 - Apr,P
Weston Horton,Atq -348,5 - Apr,P
Dean Mclaughlin,Atq -435,5 - Apr,P
Jonah Hamilton,Atq -331,5 - Apr,WFH
Roman Colon,Atq -426,5 - Apr,P
Chris Frye,Atq -405,5 - Apr,WFH
London Kim,Atq -475,5 - Apr,P
Kenley Marsh,Atq -375,5 - Apr,P
Adriel Pace,Atq -456,5 - Apr,P
Jase Ingram,Atq -385,5 - Apr,P
Adyson Moyer,Atq -484,5 - Apr,P
Salvatore Hendrix,Atq -398,5 - Apr,P
Tucker Austin,Atq -412,5 - Apr,P
Cristofer Bernard,Atq -472,5 - Apr,P
Karma Reeves,Atq -396,5 - Apr,P
Esperanza Irwin,Atq -467,5 - Apr,P
Ciara Allison,Atq -428,5 - Apr,P
Demarcus Gordon,Atq -484,5 - Apr,P
Ryann Guerrero,Atq -432,5 - Apr,P
Rylee Mullins,Atq -421,5 - Apr,P
Gregory Carr,Atq -485,5 - Apr,WFH
Ayanna Atkins,Atq -452,5 - Apr,P
Briley Orr,Atq -367,5 - Apr,P
Emma Freeman,Atq -393,5 - Apr,WFH
Will Mahoney,Atq -403,5 - Apr,P
Titus Andersen,Atq -414,5 - Apr,P
Marquis Wyatt,Atq -418,5 - Apr,P
Nick Orozco,Atq -408,5 - Apr,P
Gustavo Ritter,Atq -382,5 - Apr,WFH
Isiah Small,Atq -373,5 - Apr,P
Hillary Kirk,Atq -418,5 - Apr,P
Dominique Benjamin,Atq -376,5 - Apr,P
Nehemiah Diaz,Atq -453,5 - Apr,P
Josh Sharp,Atq -461,5 - Apr,
Andrew Cummings,Atq -443,5 - Apr,P
Maximus Mckenzie,Atq -430,5 - Apr,WFH
Konner Henson,Atq -387,5 - Apr,P
Finnegan Gilbert,Atq -385,5 - Apr,P
Caylee Meadows,Atq -455,5 - Apr,P
Jovani Pope,Atq -470,5 - Apr,P
Kaley Fitzpatrick,Atq -374,5 - Apr,P
Greta Horton,Atq -369,5 - Apr,P
Miley Combs,Atq -372,5 - Apr,P
Dallas Weeks,Atq -437,5 - Apr,P
Chad Macias,Atq -400,5 - Apr,P
Jessie Carrillo,Atq -458,5 - Apr,P
Name,Employee Code,6 - Apr,Wed
Thanos Thakur,Atq -406,6 - Apr,P
Jarvis Singh,Atq -462,6 - Apr,P
Nevaeh Waller,Atq -411,6 - Apr,P
Bo Cordova,Atq -398,6 - Apr,P
Mekhi Singleton,Atq -438,6 - Apr,P
Peter Pandey,Atq -366,6 - Apr,P
Loki Lal,Atq -441,6 - Apr,P
Phoenix Brady,Atq -436,6 - Apr,P
Ana Little,Atq -404,6 - Apr,PL
Grace Stone,Atq -397,6 - Apr,P
Tori Shannon,Atq -335,6 - Apr,P
Lyric Bartlett,Atq -443,6 - Apr,P
Kaylah Schultz,Atq -419,6 - Apr,P
Cason David,Atq -467,6 - Apr,P
Miya Hampton,Atq -450,6 - Apr,P
Sofia Solis,Atq -405,6 - Apr,P
Mckayla Parker,Atq -440,6 - Apr,P
Madelynn Gray,Atq -335,6 - Apr,P
Myla Klein,Atq -343,6 - Apr,P
Boston Morse,Atq -334,6 - Apr,P
April Ayers,Atq -446,6 - Apr,P
Faith Hamilton,Atq -419,6 - Apr,P
Janelle Raymond,Atq -393,6 - Apr,P
Joel Cruz,Atq -396,6 - Apr,WFH
Iris Woodard,Atq -459,6 - Apr,P
Trystan Ortega,Atq -349,6 - Apr,P
Miles Fields,Atq -438,6 - Apr,P
Rodrigo Price,Atq -423,6 - Apr,P
Ella Roth,Atq -370,6 - Apr,HPL
Jayce Fuentes,Atq -433,6 - Apr,P
Hailee Fitzpatrick,Atq -375,6 - Apr,P
Rey Novak,Atq -475,6 - Apr,P
Macie Callahan,Atq -368,6 - Apr,P
Xiomara Ruiz,Atq -468,6 - Apr,P
Weston Horton,Atq -348,6 - Apr,P
Dean Mclaughlin,Atq -435,6 - Apr,P
Jonah Hamilton,Atq -331,6 - Apr,PL
Roman Colon,Atq -426,6 - Apr,P
Chris Frye,Atq -405,6 - Apr,P
London Kim,Atq -475,6 - Apr,P
Kenley Marsh,Atq -375,6 - Apr,P
Adriel Pace,Atq -456,6 - Apr,P
Jase Ingram,Atq -385,6 - Apr,P
Adyson Moyer,Atq -484,6 - Apr,P
Salvatore Hendrix,Atq -398,6 - Apr,P
Tucker Austin,Atq -412,6 - Apr,P
Cristofer Bernard,Atq -472,6 - Apr,P
Karma Reeves,Atq -396,6 - Apr,P
Esperanza Irwin,Atq -467,6 - Apr,P
Ciara Allison,Atq -428,6 - Apr,P
Demarcus Gordon,Atq -484,6 - Apr,P
Ryann Guerrero,Atq -432,6 - Apr,P
Rylee Mullins,Atq -421,6 - Apr,P
Gregory Carr,Atq -485,6 - Apr,WFH
Ayanna Atkins,Atq -452,6 - Apr,P
Briley Orr,Atq -367,6 - Apr,P
Emma Freeman,Atq -393,6 - Apr,P
Will Mahoney,Atq -403,6 - Apr,P
Titus Andersen,Atq -414,6 - Apr,P
Marquis Wyatt,Atq -418,6 - Apr,P
Nick Orozco,Atq -408,6 - Apr,P
Gustavo Ritter,Atq -382,6 - Apr,WFH
Isiah Small,Atq -373,6 - Apr,P
Hillary Kirk,Atq -418,6 - Apr,P
Dominique Benjamin,Atq -376,6 - Apr,P
Nehemiah Diaz,Atq -453,6 - Apr,P
Josh Sharp,Atq -461,6 - Apr,
Andrew Cummings,Atq -443,6 - Apr,P
Maximus Mckenzie,Atq -430,6 - Apr,WFH
Konner Henson,Atq -387,6 - Apr,P
Finnegan Gilbert,Atq -385,6 - Apr,P
Caylee Meadows,Atq -455,6 - Apr,P
Jovani Pope,Atq -470,6 - Apr,P
Kaley Fitzpatrick,Atq -374,6 - Apr,P
Greta Horton,Atq -369,6 - Apr,P
Miley Combs,Atq -372,6 - Apr,P
Dallas Weeks,Atq -437,6 - Apr,P
Chad Macias,Atq -400,6 - Apr,LWP
Jessie Carrillo,Atq -458,6 - Apr,P
Name,Employee Code,7 - Apr,Thu
Thanos Thakur,Atq -406,7 - Apr,P
Jarvis Singh,Atq -462,7 - Apr,P
Nevaeh Waller,Atq -411,7 - Apr,P
Bo Cordova,Atq -398,7 - Apr,WFH
Mekhi Singleton,Atq -438,7 - Apr,P
Peter Pandey,Atq -366,7 - Apr,P
Loki Lal,Atq -441,7 - Apr,P
Phoenix Brady,Atq -436,7 - Apr,P
Ana Little,Atq -404,7 - Apr,SL
Grace Stone,Atq -397,7 - Apr,P
Tori Shannon,Atq -335,7 - Apr,P
Lyric Bartlett,Atq -443,7 - Apr,P
Kaylah Schultz,Atq -419,7 - Apr,PL
Cason David,Atq -467,7 - Apr,P
Miya Hampton,Atq -450,7 - Apr,HWFH
Sofia Solis,Atq -405,7 - Apr,P
Mckayla Parker,Atq -440,7 - Apr,SL
Madelynn Gray,Atq -335,7 - Apr,PL
Myla Klein,Atq -343,7 - Apr,P
Boston Morse,Atq -334,7 - Apr,P
April Ayers,Atq -446,7 - Apr,P
Faith Hamilton,Atq -419,7 - Apr,P
Janelle Raymond,Atq -393,7 - Apr,P
Joel Cruz,Atq -396,7 - Apr,WFH
Iris Woodard,Atq -459,7 - Apr,P
Trystan Ortega,Atq -349,7 - Apr,P
Miles Fields,Atq -438,7 - Apr,P
Rodrigo Price,Atq -423,7 - Apr,P
Ella Roth,Atq -370,7 - Apr,P
Jayce Fuentes,Atq -433,7 - Apr,P
Hailee Fitzpatrick,Atq -375,7 - Apr,P
Rey Novak,Atq -475,7 - Apr,P
Macie Callahan,Atq -368,7 - Apr,P
Xiomara Ruiz,Atq -468,7 - Apr,P
Weston Horton,Atq -348,7 - Apr,P
Dean Mclaughlin,Atq -435,7 - Apr,P
Jonah Hamilton,Atq -331,7 - Apr,P
Roman Colon,Atq -426,7 - Apr,HLWP
Chris Frye,Atq -405,7 - Apr,WFH
London Kim,Atq -475,7 - Apr,P
Kenley Marsh,Atq -375,7 - Apr,P
Adriel Pace,Atq -456,7 - Apr,P
Jase Ingram,Atq -385,7 - Apr,P
Adyson Moyer,Atq -484,7 - Apr,P
Salvatore Hendrix,Atq -398,7 - Apr,P
Tucker Austin,Atq -412,7 - Apr,P
Cristofer Bernard,Atq -472,7 - Apr,P
Karma Reeves,Atq -396,7 - Apr,P
Esperanza Irwin,Atq -467,7 - Apr,P
Ciara Allison,Atq -428,7 - Apr,P
Demarcus Gordon,Atq -484,7 - Apr,P
Ryann Guerrero,Atq -432,7 - Apr,PL
Rylee Mullins,Atq -421,7 - Apr,P
Gregory Carr,Atq -485,7 - Apr,WFH
Ayanna Atkins,Atq -452,7 - Apr,ML
Briley Orr,Atq -367,7 - Apr,P
Emma Freeman,Atq -393,7 - Apr,P
Will Mahoney,Atq -403,7 - Apr,P
Titus Andersen,Atq -414,7 - Apr,P
Marquis Wyatt,Atq -418,7 - Apr,P
Nick Orozco,Atq -408,7 - Apr,P
Gustavo Ritter,Atq -382,7 - Apr,WFH
Isiah Small,Atq -373,7 - Apr,P
Hillary Kirk,Atq -418,7 - Apr,LWP
Dominique Benjamin,Atq -376,7 - Apr,P
Nehemiah Diaz,Atq -453,7 - Apr,P
Josh Sharp,Atq -461,7 - Apr,
Andrew Cummings,Atq -443,7 - Apr,P
Maximus Mckenzie,Atq -430,7 - Apr,WFH
Konner Henson,Atq -387,7 - Apr,P
Finnegan Gilbert,Atq -385,7 - Apr,P
Caylee Meadows,Atq -455,7 - Apr,P
Jovani Pope,Atq -470,7 - Apr,P
Kaley Fitzpatrick,Atq -374,7 - Apr,P
Greta Horton,Atq -369,7 - Apr,P
Miley Combs,Atq -372,7 - Apr,P
Dallas Weeks,Atq -437,7 - Apr,P
Chad Macias,Atq -400,7 - Apr,P
Jessie Carrillo,Atq -458,7 - Apr,LWP
Name,Employee Code,8 - Apr,Fri
Thanos Thakur,Atq -406,8 - Apr,P
Jarvis Singh,Atq -462,8 - Apr,P
Nevaeh Waller,Atq -411,8 - Apr,P
Bo Cordova,Atq -398,8 - Apr,PL
Mekhi Singleton,Atq -438,8 - Apr,P
Peter Pandey,Atq -366,8 - Apr,P
Loki Lal,Atq -441,8 - Apr,P
Phoenix Brady,Atq -436,8 - Apr,P
Ana Little,Atq -404,8 - Apr,P
Grace Stone,Atq -397,8 - Apr,P
Tori Shannon,Atq -335,8 - Apr,P
Lyric Bartlett,Atq -443,8 - Apr,P
Kaylah Schultz,Atq -419,8 - Apr,P
Cason David,Atq -467,8 - Apr,P
Miya Hampton,Atq -450,8 - Apr,P
Sofia Solis,Atq -405,8 - Apr,P
Mckayla Parker,Atq -440,8 - Apr,P
Madelynn Gray,Atq -335,8 - Apr,P
Myla Klein,Atq -343,8 - Apr,P
Boston Morse,Atq -334,8 - Apr,P
April Ayers,Atq -446,8 - Apr,P
